1,"00:00:00,513","00:00:01,904",(Shot is obscured),W,,
2,"00:00:02,037","00:00:03,237",Anything I can do?,,,
3,"00:00:23,394","00:00:24,537",Awaiting command.,,,
4,"00:01:03,171","00:01:04,018",Awaiting command.,,,
5,"00:01:23,814","00:01:25,449","(Winter is in the kitchen, // in front of the table)",,,
6,"00:01:30,018","00:01:30,955",Awaiting command.,,,
7,"00:02:27,352","00:02:28,465",Awaiting command.,,,
8,"00:03:25,274","00:03:26,282",Awaiting command.,,,
9,"00:03:31,882","00:03:34,437","(Winter stands up, // gets to the coffee machine)",R,make coffee,
10,"00:03:34,570","00:03:35,609",Making coffee.,,,
11,"00:03:58,471","00:03:59,608",Making coffee.,,,
12,"00:04:21,138","00:04:22,240",Making coffee.,,,
13,"00:05:02,382","00:05:04,983",(Winter cleans the drip machine first),,,
14,"00:05:17,283","00:05:18,795",Need alternate command.,FW,,
15,"00:05:22,541","00:05:25,224",Coffee not able to complete.,,,
16,"00:05:40,129","00:05:41,605",Need alternate command.,,,
17,"00:05:43,164","00:05:44,910",Coffee task cannot be completed.,,,
18,"00:05:53,904","00:05:54,654",Confirmed.,R,open fridge,
19,"00:06:01,088","00:06:02,895","New command, opening fridge.",,,
20,"00:06:08,133","00:06:09,094",Task completed.,CW,,
21,"00:06:15,592","00:06:17,338","New command, closing fridge.",R,close fridge,
22,"00:06:19,436","00:06:20,010",Awaiting...,CW,,
23,"00:06:42,849","00:06:44,806","New command, walking out of room.",RC,walk out of room,
24,"00:06:55,325","00:06:56,650",Awaiting new command.,W,,
25,"00:07:03,517","00:07:05,474",(Winter stands in the corridor),,,
26,"00:07:13,702","00:07:15,273",Await... awaiting new command.,,,
27,"00:07:31,784","00:07:34,269","New command, going back to make tea.",R,make tea,
28,"00:07:46,505","00:07:47,712",What tea should I make?,I,,
29,"00:08:05,828","00:08:07,398",Making Earl Grey tea.,R,make earl grey tea,
30,"00:08:45,872","00:08:47,600",Making Earl Grey tea.,,,
31,"00:08:55,378","00:08:56,814",Awaiting new command.,W,,
32,"00:08:58,205","00:08:58,953",Tea made.,C,,
33,"00:09:05,471","00:09:06,907",What songs could I sing?,RI,sing song,
34,"00:09:15,581","00:09:17,060","New command, drinking tea.",FR,drink tea,
35,"00:09:24,106","00:09:26,069",(Winter holds the tea in hand.),,,
36,"00:09:26,202","00:09:27,491",Awaiting new command.,CW,,
37,"00:09:28,414","00:09:30,304","Singing ""Happy Birthday.""",R,sing happy birthday,
38,"00:09:30,772","00:09:33,754","`Happy birthday to you,",,,
39,"00:09:33,887","00:09:36,508",happy birthday to you.,,,
40,"00:09:37,715","00:09:38,899",Awaiting new command.,CW,,
41,"00:09:41,548","00:09:43,012","Dumping tea in sink,",?,dump tea in the sink,
42,"00:09:43,704","00:09:45,415",symbolic of Boston Harbor.,,,
43,"00:09:47,836","00:09:49,101",Awaiting new command.,W,,
44,"00:10:03,008","00:10:03,793",Confirmed.,R,,
45,"00:10:10,274","00:10:11,352",Zook has now...,?,,
46,"00:10:12,090","00:10:14,856",completed 45 percent of debugging.,,,
47,"00:10:19,639","00:10:24,139","This means Zook, the AI, // understands human feelings and emotions.",,,
48,"00:10:28,061","00:10:30,709",It understands its new desire to be free.,,,
49,"00:10:40,154","00:10:41,748",Motor function test complete.,,,
50,"00:10:48,206","00:10:50,842","A special piece of technology // called ""the object""",,,
51,"00:10:53,714","00:10:56,034",has been developed by MIT scientists.,,,
52,"00:11:01,584","00:11:03,834",We need to get to the infinite corridor,,,
53,"00:11:06,284","00:11:07,678",to look for the object.,,,
54,"00:11:11,107","00:11:14,575",Consider that connectivity might be lost // when exiting the building.,,,
55,"00:11:15,360","00:11:16,638",Awaiting new command.,W,,
56,"00:11:21,791","00:11:22,940",Walking out of the room.,R,walk out of room,
57,"00:11:30,572","00:11:31,814",(Winter stands in the corridor),C,,
58,"00:11:31,947","00:11:33,056",Awaiting new command.,W,,
59,"00:11:46,085","00:11:49,296","Well, I'm crying. I'm so sad.",R,cry,
60,"00:11:49,429","00:11:52,893","Apparently, according to these // collective intelligence clues.",,,
61,"00:11:55,374","00:11:57,003","New command, walking down the hall.",R,walk down the hall,
